orcid	wikidata	twitter	github
0000-0001-6424-3720	Q92551530	sadikmz	
0000-0002-6244-9968	Q91720924		
0000-0003-1939-0865	Q93060621		
0000-0002-2113-6498	Q93216817		
0000-0002-2378-4966	Q95610711	HannesMalmberg1	
0000-0001-5418-0754	Q110658204		
0000-0003-3307-5386	Q59912139		
0000-0001-7959-4902	Q113644451		
0000-0002-7049-1840	Q115193748		
0000-0002-7073-6932	Q87901131		
0000-0002-5861-2056	Q24852176		
0000-0001-6239-5691	Q60537354		
0000-0003-4346-9696	Q57151174	SamanthaLWilson	
0000-0001-5863-4514	Q42801905		
0000-0001-7790-1665	Q96682925		
0000-0002-4868-1971	Q41439885		
0000-0003-1045-6020	Q99708948		
0000-0003-2426-1953	Q50692365		
0000-0002-5263-1483	Q67212762		
0000-0001-9220-784X	Q47503300	dan_ai_lama	
0000-0002-9114-8486	Q43234127		
0000-0001-8906-266X	Q59749199		
0000-0003-3709-9131	Q61473842	JorgeCBerny	
0000-0001-9677-928X	Q97681636		
0000-0002-7185-7031	Q55362934		
0000-0001-5617-7065	Q89000131		
0000-0002-7603-0092	Q64504175		
0000-0003-1015-3089	Q58885435		
0000-0001-7047-9676	Q40329508		
0000-0001-8616-4898	Q59670528		
0000-0002-2260-4935	Q91831286		
0000-0001-7003-6082	Q85660369		
0000-0003-0048-1177	Q24702481	behrenstimb	
0000-0001-7788-4367	Q61157834		
0000-0003-3533-5786	Q47297788	jgpausas	
0000-0002-4696-1347	Q86883255		
0000-0001-6814-7795	Q87210878		
0000-0003-2681-3563	Q51562300		
0000-0003-1374-6015	Q63358182		
0000-0003-2550-6246	Q56492224		
0000-0003-1768-0949	Q3117946	RandyNesse	
0000-0003-3589-1053	Q56886439		
0000-0001-5632-6091	Q42784296		
0000-0001-9620-593X	Q57153467		
0000-0003-1330-8525	Q57421449		
0000-0001-6277-726X	Q37391636		kimrutherford
0000-0002-4744-3971	Q97541094		
0000-0002-8385-6730	Q88685696		
0000-0002-0023-8233	Q55189018		
0000-0003-4160-6124	Q59265175		
0000-0002-8204-6437	Q59552653		
0000-0002-1679-1711	Q91558108	RalfGabriels	RalfG
0000-0003-0330-9428	Q42327954		khinsen
0000-0003-4001-0564	Q92928935	l_petrucco	vigji
0000-0002-7906-6066	Q47441327		
0000-0003-4313-2786	Q57243195		
0000-0001-9446-0419	Q57563806		
0000-0002-0626-1821	Q57637630		
0000-0002-6081-3367	Q92606037		
0000-0001-6653-3203	Q57768084	GWASalex	
0000-0003-1735-1221	Q47701478	jackflibb	jflournoy
0000-0003-2839-2870	Q60163209		
0000-0003-4091-0634	Q60678608		
0000-0002-0515-9542	Q64122310	giocomai	giocomai
0000-0002-3128-5331	Q60788835		
0000-0001-5785-024X	Q59466178		
0000-0003-2139-0549	Q81691161		
0000-0002-1259-3363	Q21077774		
0000-0002-0637-835X	Q57514484	jradavenport	jradavenport
0000-0002-8378-9371	Q85260737		
0000-0003-2839-3144	Q7184118	familyunequal	
0000-0001-9275-7454	Q55471959		
0000-0001-9796-513X	Q59159699		
0000-0001-7469-594X	Q43093211		
0000-0001-5052-066X	Q61036761	vuorre	mvuorre
0000-0002-8283-1750	Q46061890		
0000-0002-8244-8700	Q83584845	STEMxicanEd	
0000-0002-4940-719X	Q64674049		
0000-0001-8694-1474	Q82714181		
0000-0003-3381-8477	Q56090090		
0000-0003-1121-1754	Q56234805		
0000-0003-4416-048X	Q48039059		
0000-0002-4794-9120	Q56875412		
0000-0002-2820-9151	Q56928231		
0000-0002-0583-4595	Q37838557		
0000-0003-4144-2019	Q56426508		alesssia
0000-0003-0369-0767	Q58187126		
0000-0002-5230-6760	Q41049508		calthaus
0000-0003-2595-8736	Q100464255		
0000-0002-6124-7096	Q47172478	bjenquist	
0000-0002-7331-4751	Q100757645		
0000-0002-2147-6003	Q63437480	Caroline_Bartma	
0000-0002-5423-9717	Q87864360		
0000-0003-3296-5811	Q88032155		
0000-0002-0078-2925	Q54279127		
0000-0002-7023-7930	Q47686972		
0000-0002-4181-6335	Q89169980		
0000-0001-5013-0442	Q42598256		
0000-0002-4892-3387	Q56224253		
0000-0002-5810-1272	Q38325305		
0000-0003-0807-463X	Q56486628		
0000-0001-6899-664X	Q90128518		
0000-0002-9984-3037	Q91970753		
0000-0001-5129-895X	Q87730420		
0000-0003-1697-614X	Q87784627		
0000-0002-5061-4241	Q59140245		
0000-0003-2917-3450	Q87856295		
0000-0001-5400-6369	Q21165389	RichardALJones	
0000-0002-4445-0340	Q88559156		
0000-0001-7561-6529	Q41044801		
0000-0003-4187-9018	Q46981632		
0000-0002-3708-8558	Q86592085	edel_plopez	
0000-0002-0642-8468	Q89833531		
0000-0001-9242-8968	Q89943887		
0000-0001-7295-5939	Q90181077		
0000-0003-4983-1430	Q91271829		
0000-0002-3645-6670	Q56434823		
0000-0003-4853-1866	Q91392223		
0000-0003-4297-4332	Q57008768		
0000-0001-6507-9168	Q7159862	gepasi	
0000-0003-4630-1223	Q42321376		
0000-0003-1000-7276	Q92442288		
0000-0001-5392-976X	Q42772189		
0000-0002-5223-1121	Q40901066		
0000-0002-9263-673X	Q59590395		
0000-0001-7038-3121	Q42874265		
0000-0001-8794-6410	Q87772824		iaciac
0000-0002-8390-0463	Q99555326		
0000-0002-3404-8964	Q59593266	csperkins	csperkins
0000-0002-9142-9392	Q57557302		
0000-0002-5961-1012	Q47781188		
0000-0003-4961-0048	Q90268482		
0000-0002-4310-4278	Q67751063		
0000-0002-1731-5346	Q15710842	robinberjon	
0000-0002-7175-5393	Q56234828		
0000-0002-2055-8381	Q57143693		
0000-0002-7401-4777	Q57331707		
0000-0002-4567-8232	Q57904635		
0000-0002-3589-9699	Q57984253		
0000-0002-9739-0249	Q96049472	Eric_Fauman	
0000-0002-0785-8187	Q88442467		
0000-0003-4168-8254	Q58787484		
0000-0002-6096-1052	Q98201320		
0000-0002-5729-1211	Q38325707		
0000-0001-9994-4615	Q59682053		
0000-0002-4129-6632	Q57078552		
0000-0001-5020-5256	Q47504372		
0000-0002-1899-4790	Q56812683		
0000-0002-6954-3818	Q58312854		
0000-0002-6691-7335	Q58374462		
0000-0002-0211-5480	Q57015839		
0000-0003-2006-5656	Q57107320		
0000-0002-9561-5950	Q92584548		
0000-0001-6930-5468	Q41150819		
0000-0003-2443-4252	Q41424136		
0000-0001-6476-3478	Q60056300		
0000-0003-0794-5536	Q61168441		
0000-0001-6817-1322	Q64967299	MoAlQuraishi	
0000-0002-6986-7150	Q87600258		
0000-0002-6836-5925	Q59684517		
0000-0002-0196-3779	Q61820534		
0000-0002-8287-4101	Q89167312		
0000-0003-4859-1914	Q89292502		
0000-0002-3333-5013	Q110900273	groceryheist	
0000-0001-7512-8541	Q37381879	giorgiogilestro	
0000-0002-3933-9752	Q45175248	siminevazire	
0000-0001-5013-9543	Q24778720		
0000-0003-2776-7220	Q91878765		
0000-0001-9788-5201	Q56761601		
0000-0003-4314-3805	Q59554939	biologist_nina	
0000-0001-7508-1384	Q92146677		mufernando
0000-0003-1840-6175	Q27975668		
0000-0002-7768-8275	Q58427696		
0000-0002-9095-5358	Q49386574		
0000-0001-5803-3380	Q37834895		
0000-0001-5639-9688	Q50263922		
0000-0003-1283-8313	Q50694627		
0000-0001-7697-1709	Q73955187		
0000-0003-1695-5349	Q98778106		
0000-0002-2898-7770	Q79945585		
0000-0002-7411-0857	Q99578753	ProfPaulRalph	
0000-0002-8952-6994	Q40112547		
0000-0001-5715-9459	Q55454793		
0000-0001-9148-647X	Q67213400		
0000-0003-3554-385X	Q48094440		mattelisi
0000-0001-9752-932X	Q48701487		
0000-0001-5218-134X	Q42763731		
0000-0003-3628-6891	Q87795045	linseymarr	
0000-0001-9252-7448	Q56884926	JonasKaiser	
0000-0002-1934-0043	Q87195816		
0000-0002-3618-306X	Q51701051		
0000-0002-9447-8579	Q88235020		
0000-0002-2986-2937	Q48975801		laura-rieger
0000-0003-2554-8585	Q54669805	angus_davison	
0000-0003-2554-8585	Q54669805	davison_angus	
0000-0002-4933-1017	Q56925727		
0000-0001-9690-7683	Q56999517		
0000-0003-4964-0685	Q57066377		pmenzel
0000-0002-8808-1452	Q47311075	anacatarinaas	
0000-0001-5725-2215	Q64541633	RossWhippo	
0000-0003-2429-8879	Q113553123	AWhitTwit	
0000-0002-4214-9204	Q58658233		
0000-0002-9928-9558	Q26714218		
0000-0001-6668-9179	Q87724345		
0000-0003-0379-6916	Q87796621		
0000-0001-6594-0245	Q90050911	KellerCaponePhD	
0000-0001-8028-5787	Q59834514		
0000-0001-5430-3937	Q104281961		
0000-0001-7734-722X	Q104501846		
0000-0002-1351-7071	Q37831155		
0000-0001-8349-0620	Q90563416		
0000-0003-2947-574X	Q56000677	KirkwoodLab	
0000-0001-6267-8472	Q55956240		
0000-0003-1085-6059	Q57025992		
0000-0002-6452-5215	Q58454944		
0000-0001-9668-2429	Q89380705	pbulsink	pbulsink
0000-0001-9701-3059	Q59675343		
0000-0003-1697-6916	Q52699332		
0000-0003-2282-090X	Q96099692		
0000-0001-6376-871X	Q98238464		
0000-0002-6264-3701	Q38323704		
0000-0003-1964-8221	Q57304955		
0000-0001-9689-3322	Q45810173		
0000-0003-2513-1317	Q58492170		
0000-0001-9627-656X	Q90436107		
0000-0002-2785-989X	Q59301878		
0000-0002-3975-5596	Q40357904		
0000-0002-9788-9920	Q60655946		
0000-0002-9107-1984	Q37374809		plannapus
0000-0002-0975-316X	Q38548783		
0000-0003-2456-1286	Q61110077		
0000-0002-6302-9252	Q59584691	Daniel_W_Heck	danheck
0000-0003-0757-0017	Q57149170		
0000-0003-0172-330X	Q38589401	Biosdfp	
0000-0002-9222-9608	Q57437879		
0000-0002-9296-9470	Q47696675		
0000-0003-2360-650X	Q57837613		
0000-0003-3692-999X	Q57874167		
0000-0001-6000-8387	Q59677910		
0000-0002-6319-7336	Q89637656	BillHanage	
0000-0003-0173-1887	Q58465681		
0000-0002-5557-2597	Q60171248		
0000-0002-2841-872X	Q21127425	biocs	
0000-0002-2253-1844	Q56754351	introspection	deep-introspection
0000-0003-4339-7733	Q98164978		tabataba
0000-0002-2082-9612	Q42367967		
0000-0003-4225-372X	Q87669095		
0000-0002-4119-9955	Q88117974		
0000-0001-8865-4495	Q95606570		
0000-0003-2279-7041	Q51530784		
0000-0003-2392-468X	Q43595476		
0000-0001-5634-2470	Q63732890		
0000-0003-2246-9347	Q63968136		
0000-0002-1123-7674	Q64923241	markkhurana	
0000-0002-0170-0311	Q4758379	Revkin	
0000-0002-8677-2276	Q90620812		
0000-0003-3201-6130	Q90715491		
0000-0002-2343-2282	Q64819599		
0000-0002-1870-8811	Q27942234	takapodigs	
0000-0002-3204-4396	Q91433951		
0000-0002-5265-2559	Q46800298		
0000-0001-7319-0157	Q92368828		
0000-0002-9882-1709	Q57893162		
0000-0002-1057-3721	Q57235638		nowosad
0000-0002-8400-8178	Q88499176		
0000-0001-9029-4644	Q88530298		
0000-0002-1415-4591	Q89509893		
0000-0001-8571-6259	Q91240907	skwinnicki	
0000-0003-4276-3092	Q21872735	Weather_West	
0000-0001-5291-788X	Q90386466		
0000-0002-5998-701X	Q86898804		
0000-0002-1020-5240	Q50042910	briscoejames	
0000-0002-8722-9371	Q42314710		
0000-0002-7433-2740	Q4818772	atulbutte	
0000-0002-2208-8168	Q33082910		
0000-0002-0816-6692	Q90326666		
0000-0001-9075-8912	Q50756659		
0000-0002-2415-494X	Q59189496		
0000-0001-5130-6497	Q42604707	martyn_plummer	
0000-0002-8530-9968	Q87805598	rallidaerule	aurielfournier
0000-0002-8723-7232	Q87659786		
0000-0002-4892-4208	Q87699104		
0000-0003-3177-831X	Q84349383		
0000-0001-9180-6525	Q87804762		
0000-0002-4563-2963	Q15429397	trnsprtst	
0000-0002-2293-255X	Q87963396		
0000-0002-8384-7340	Q64019561		
0000-0003-2862-3843	Q57638552		bruceekirk
0000-0002-3241-1846	Q64498942		
0000-0002-1238-3120	Q55664786		
0000-0002-4008-9201	Q56056909		
0000-0003-0159-013X	Q50359431	aarontay	aarontaycheehsien
0000-0002-9033-894X	Q59209657		
0000-0002-2312-5282	Q59618197		
0000-0001-6242-4288	Q88573816		
0000-0003-4532-7528	Q89445324		
0000-0002-0248-0816	Q90455176	meganakpeters	
0000-0002-5426-9545	Q90737594		
0000-0002-3518-9208	Q90884302		
0000-0003-1726-6633	Q100455174		
0000-0001-8057-8037	Q91805764	seabbs	seabbs
0000-0002-7529-6825	Q57552164		
0000-0001-9205-6623	Q57786151		
0000-0002-3236-4787	Q96065877	jfkominsky	
0000-0002-5865-8994	Q37837343		
0000-0002-3599-6018	Q47503109		
0000-0003-1716-2009	Q40260608		
0000-0003-0353-7535	Q42638651		
0000-0002-8556-845X	Q55948351		
0000-0001-9039-2631	Q56480344		
0000-0003-2557-5145	Q59162564	adamrabinowitz	
0000-0003-3573-5229	Q58526125		
0000-0002-5989-7647	Q86026901		
0000-0001-7988-1514	Q43162085	morenorse	
0000-0002-5644-7069	Q58203626	ThePlanetaryGuy	
0000-0002-2435-4423	Q28494420	ericfreyss	
0000-0002-3360-5108	Q42873892		
0000-0002-5886-2127	Q48709420	kbkarlson	
0000-0001-6255-690X	Q56427682	tatumdmortimer	tatumdmortimer
0000-0003-4447-7815	Q89919014	plantteaching	
0000-0001-8315-7406	Q63494004		
0000-0002-8916-6335	Q96098188		quinngroup
0000-0003-0658-4775	Q18693216		
0000-0002-6951-7126	Q47451398		
0000-0002-8165-3198	Q37367358	ZulmaCucunuba	
0000-0002-7398-2127	Q28321732		
0000-0002-7223-1014	Q58111087		
0000-0002-7079-5166	Q58324092		
0000-0002-3119-611X	Q59760134		
0000-0001-7846-2094	Q68707670		
0000-0003-4659-9314	Q47810665		
0000-0001-9006-8436	Q30114358	m_foll	
0000-0003-1821-4632	Q57451751	D0CT0R_Dave	
0000-0001-5003-9278	Q87382411		
0000-0002-6301-5870	Q58492972	emeegray	
0000-0002-9837-6529	Q54675835	TheNewStats	
0000-0003-3930-7360	Q79800130		
0000-0002-3570-787X	Q43251039		
0000-0001-9181-8083	Q88493257		
0000-0002-8185-8230	Q58793416		
0000-0003-0349-7182	Q55382763		
0000-0001-7631-2324	Q21338646		
0000-0002-8985-8104	Q54303487		
0000-0002-0161-443X	Q41591905	bakerdh	
0000-0002-1866-0619	Q102369655		
0000-0001-7824-7650	Q879571	brembs	
0000-0002-9811-4190	Q87739117	VirtualChrisB	
0000-0002-2084-461X	Q56453969		
0000-0001-9753-4276	Q58075703		
0000-0003-4384-2876	Q16221586		
0000-0002-3666-5683	Q40579366		
0000-0003-3774-2369	Q57295239		
0000-0002-7343-2125	Q92479052		
0000-0002-0955-0688	Q87148959		
0000-0002-0271-1071	Q59679751		
0000-0002-5678-4583	Q50066239		
0000-0002-0671-6582	Q27734166	stearnslab	
0000-0003-2497-0258	Q61168282		
0000-0002-8233-5853	Q94947545		
0000-0002-7163-6343	Q50739921		
0000-0001-5361-9876	Q52808422		
0000-0002-1616-2448	Q38320777	jxchong	
0000-0002-4463-3067	Q90351370		
0000-0003-4342-2089	Q36653645	PeterMoonlight	
0000-0002-3668-5764	Q39719573		
0000-0002-3357-6570	Q56548370		
0000-0001-8336-8000	Q56989877		
0000-0003-0565-0312	Q21338838		
0000-0002-1460-2155	Q44036484	DrLimnology	
0000-0003-4177-6123	Q57499090		
0000-0002-3850-5616	Q41589152		
0000-0001-8383-8084	Q48276751		
0000-0002-8779-1452	Q42845416		
0000-0002-2772-5840	Q60057814	burkh4rt	burkh4rt
0000-0003-0600-1023	Q77859569		
0000-0002-7725-6544	Q96224182		
0000-0003-1897-5693	Q60164887		
0000-0001-8210-8434	Q30505092	crocholliday	
0000-0003-0542-119X	Q41044041	jchodera	choderalab
0000-0002-3176-3727	Q104285667		
0000-0003-1743-9493	Q2649422	ionicasmeets	
0000-0003-0821-3791	Q82410398		
0000-0001-6319-4154	Q93111264		
0000-0001-6403-6553	Q56437084		
0000-0002-8192-2829	Q56439783		
0000-0002-7055-8806	Q56516659		
0000-0002-5333-558X	Q88165854		
0000-0001-8496-9836	Q30532417		
0000-0001-5720-4686	Q42791078		
0000-0002-2150-9610	Q89346224		
0000-0001-9199-9654	Q85379846		
0000-0003-0430-1401	Q90186526		
0000-0001-6458-1084	Q908187	philipcball	
0000-0002-2231-1059	Q57020205	martinlangcz	
0000-0001-9254-3675	Q58423016	hannahmetzler1	
0000-0001-7223-578X	Q42887966		
0000-0002-5082-1216	Q56959212		
0000-0001-5560-4109	Q57296312		
0000-0003-3580-5979	Q57324888		
0000-0003-1278-8846	Q57630659		
0000-0002-6279-8420	Q57962180	WaterSHEDLab	
0000-0001-6755-9456	Q91767899		
0000-0003-3529-5681	Q56331726	gkalinkat	
0000-0002-4765-9967	Q104483154		
0000-0001-8072-943X	Q94554822		
0000-0001-7924-6043	Q39833747		
0000-0001-7851-0666	Q62566531		
0000-0003-1455-3370	Q6504172	ProfLHunter	
0000-0001-8450-4262	Q96047931		
0000-0002-3020-6400	Q90449029		
0000-0001-9462-9333	Q90469199		
0000-0001-7063-7849	Q22104520	friel	
0000-0002-0590-3327	Q56420510		
0000-0001-7933-3227	Q49113360		
0000-0001-7720-8430	Q56786952		
0000-0003-4073-073X	Q64729389		
0000-0001-6965-9549	Q91868409		
0000-0002-0926-6556	Q50611138		
0000-0003-0911-8358	Q46434981		
0000-0001-7224-9620	Q42888112		
0000-0001-9561-3632	Q79940915		
0000-0002-8888-1572	Q90200387		
0000-0003-3468-6517	Q56759627	hendysh	
0000-0002-8347-6703	Q91168097		
0000-0002-1961-6329	Q91997580		
0000-0003-1430-5887	Q92627215		
0000-0003-4222-8858	Q86796511	disequilibber	
0000-0002-2837-2258	Q87020890		
0000-0001-7018-2995	Q87838676	DrYohanJohn	
0000-0003-3084-2287	Q51417778		
0000-0002-2878-2425	Q51721078		
0000-0002-5197-1267	Q60964493	paulrhjtimmers	
0000-0002-1404-5264	Q95262953		
0000-0001-8249-7388	Q57064489	adam42smith	adam3smith
0000-0002-1563-9072	Q89474109		
0000-0002-0204-8003	Q21390727		
0000-0002-9106-4063	Q56944689	OscarGenomics	
0000-0002-4539-650X	Q56434068		
0000-0001-9667-0292	Q90002750		
0000-0002-3016-1054	Q56805803		
0000-0003-4946-0350	Q92580183	Jul_Dugre	
0000-0001-7778-5561	Q57021844		
0000-0002-5159-7041	Q57080394		
0000-0002-9302-1761	Q55324134		
0000-0001-6184-2381	Q90590292		
0000-0002-6612-9902	Q47145077		
0000-0002-1288-9543	Q39756632		
0000-0003-1393-1149	Q92979006		
0000-0003-3522-4939	Q93120516		
0000-0003-2708-5027	Q94486813		
0000-0001-9749-3814	Q60197611	ErinMGibson	
0000-0001-5885-1199	Q88797293		
0000-0002-1071-0693	Q97898756		
0000-0002-8957-0813	Q63807340		
0000-0002-0415-0466	Q91588683		
0000-0003-0483-4443	Q104555729		
0000-0002-6005-4006	Q56954552	AntoniosDouros	
0000-0002-9510-8326	Q91966734		
0000-0003-4295-9167	Q92290570		
0000-0002-9072-1017	Q57011537		
0000-0001-6029-7510	Q47250072	junpenglao	junpenglao
0000-0003-2792-3166	Q37615472		
0000-0002-1019-3606	Q95399409		
0000-0002-1345-2976	Q30505181		
0000-0001-5080-5016	Q59557380		
0000-0002-8406-3716	Q96067545		
0000-0002-8808-2092	Q59705844		
0000-0003-3520-6407	Q84566355		
0000-0001-5272-5124	Q78682616		
0000-0003-4596-0702	Q51713416	PlanetDr	
0000-0001-8898-8313	Q30519127		
0000-0002-0923-4554	Q86551004		
0000-0001-8249-1752	Q56085880	LudoWaltman	
0000-0003-3257-4490	Q47503529	astrokiwi	mtbannister
0000-0002-9795-4104	Q47372720		
0000-0001-6550-0135	Q41913222		
0000-0003-0701-7860	Q56774399		
0000-0003-2315-3512	Q56925248		
0000-0002-6964-9575	Q94675187		
0000-0003-1940-0007	Q42408641		
0000-0002-5005-7019	Q57638043		
0000-0003-0708-9530	Q37629479		lassefolkersen
0000-0003-2180-6823	Q86031191		
0000-0003-3958-7403	Q58667900		
0000-0002-3435-139X	Q59198735		
0000-0003-0172-8995	Q59543931		
0000-0001-8422-7656	Q55755049	macroliter	
0000-0002-1520-2268	Q29998944	lgatt0	lgatto
0000-0002-2230-713X	Q93220800		
0000-0003-3059-6127	Q54281827		
0000-0002-0415-4862	Q50783851	lkfazio	
0000-0002-1437-7525	Q57833750	AdamCoffmanMath	
0000-0001-5827-8003	Q30507117		
0000-0002-5158-7126	Q57163461		
0000-0002-4484-813X	Q64031608	benstauch	
0000-0002-1626-4444	Q7554	metasj	
0000-0002-6839-2915	Q58754363		
0000-0003-3022-2483	Q29051005	mszll	mszell
0000-0002-0000-9465	Q41108090	nelas	
0000-0003-4543-4657	Q92168254		
0000-0002-5212-2937	Q59215419		
0000-0001-9776-1890	Q102408069		
0000-0002-1147-1153	Q41047088		
0000-0002-1993-9363	Q60646221		
0000-0002-5612-0090	Q79914911		crumplab
0000-0003-4483-3701	Q47502636		
0000-0001-5747-8441	Q42792718		
0000-0002-9283-2220	Q52590284	cheshireminima	clacri
0000-0003-1683-2197	Q83445296		
0000-0002-6443-3425	Q57422146		
0000-0001-5297-0437	Q77472418		
0000-0002-6662-6829	Q46270269		
0000-0002-7882-286X	Q59542876		
0000-0002-2032-0875	Q47097630	DrJWolfson	
0000-0001-6587-2617	Q87836531		
0000-0002-7265-0104	Q87865788		
0000-0001-9165-4082	Q27074339		
0000-0001-8544-7386	Q38013968		
0000-0001-7246-7337	Q56380797		
0000-0003-3768-4269	Q39582460		Kevin-Mattheus-Moerman
0000-0003-0126-3059	Q104108131		
0000-0002-2127-0443	Q41046645		
0000-0002-3158-3136	Q61663050		
0000-0002-1966-6959	Q41868415		
0000-0001-5000-0584	Q87353017		
0000-0001-7882-2467	Q51699368		
0000-0002-6648-8067	Q56692123		
0000-0001-5175-0176	Q64363973		
0000-0002-9445-7217	Q43225811		
0000-0002-2988-7480	Q57936665		
0000-0002-5870-1059	Q59697064		
0000-0001-8792-7615	Q56892510		
0000-0002-1714-5746	Q61115729		
0000-0002-8005-7255	Q57560715		
0000-0002-4959-8192	Q104514499		
0000-0001-6132-6168	Q58085706		
0000-0002-9040-7597	Q91874189		
0000-0002-2527-8610	Q92072532		
0000-0001-6901-5524	Q86597424		
0000-0001-8381-0858	Q41048350		
0000-0002-8384-7500	Q59827159		
0000-0002-1872-1397	Q80656061		
0000-0002-5892-1174	Q61121583		
0000-0001-6497-9885	Q42701344		
0000-0003-3210-2442	Q28357961		
0000-0002-5326-4902	Q61822306		
0000-0002-7244-2401	Q83153566		
0000-0003-3084-5189	Q95977668		
0000-0002-1891-6063	Q88909919		
0000-0003-4285-7179	Q50806448		
0000-0002-8520-6221	Q86048653		
0000-0002-1818-259X	Q113572661		
0000-0001-8829-5517	Q91545428		
0000-0003-3680-3561	Q5247794	bestqualitycrab	
0000-0001-7297-9359	Q58873322	LucyStats	LucyMcGowan
0000-0001-9138-3593	Q58667543		
0000-0002-6659-357X	Q88379791		
0000-0002-8284-6215	Q22109675	GKergoat	
0000-0002-8125-0313	Q42841118		
0000-0002-5823-7903	Q73118744		
0000-0001-6852-3594	Q51063010		
0000-0001-5985-7656	Q73419426		
0000-0001-7086-1074	Q73935091		
0000-0003-0779-6200	Q61469505		
0000-0002-2931-1510	Q79674051		
0000-0002-1958-6334	Q39979746	mossMatters	
0000-0003-1076-5595	Q63679423		
0000-0001-6673-6676	Q104142338		
0000-0001-5690-3688	Q91865952	sewenz	
0000-0002-2330-9444	Q82478755		
0000-0002-8442-8025	Q25802817	peterdesmet	
0000-0003-0333-5685	Q47327124		
0000-0002-5154-1929	Q87878677		
0000-0003-2446-016X	Q84244452		
0000-0001-5654-5083	Q57457917		
0000-0001-6660-5828	Q42855590	drboothroyd	
0000-0001-8827-5655	Q43838028		
0000-0002-0990-2276	Q39184936		
0000-0003-2876-0004	Q48390959	dsquintana	
0000-0002-6797-5668	Q83774448		
0000-0003-1684-7428	Q6871623		
0000-0002-5353-0422	Q54628573		
0000-0002-1757-1980	Q28946652	ghutchis	
0000-0001-6572-7962	Q64771804		
0000-0002-3886-3974	Q57199931		
0000-0002-1405-7062	Q58362722	dariorodighiero	rodighiero
0000-0002-4890-4063	Q12356976		
0000-0001-5585-6277	Q57962233		
0000-0002-1932-3710	Q51961222		
0000-0001-8865-9085	Q103831049		
0000-0002-7897-4492	Q88654474		
0000-0003-2177-6492	Q88544963		
0000-0001-7977-1366	Q61238398		
0000-0003-0221-0098	Q83364596	TomRees_MedComm	
0000-0003-1321-3243	Q90752786		
0000-0003-2979-3238	Q91222670		
0000-0001-8255-9024	Q91250684		
0000-0001-5635-5028	Q57558274		
0000-0002-6959-1684	Q85015835		
0000-0001-7991-1568	Q59137179		
0000-0002-2147-4809	Q87270964		
0000-0001-6175-8470	Q96168162		
0000-0001-8521-4507	Q97687972		
0000-0003-1558-1883	Q46189308		
0000-0002-8129-7568	Q56438368		
0000-0001-9232-7331	Q56755397		
0000-0002-1706-8699	Q57190699		
0000-0002-6036-2850	Q47710955		
0000-0002-9705-1853	Q58880964		
0000-0001-8074-6299	Q88508196	Ciavenasc	
0000-0002-8217-0884	Q41545309		
0000-0002-8869-1840	Q81508213	dmaccannell	
0000-0001-9569-3548	Q90250805		
0000-0001-8639-8782	Q56804664		
0000-0002-3963-2641	Q63099293		
0000-0001-7613-4732	Q43113078		
0000-0003-1555-069X	Q61054350		
0000-0003-4426-0405	Q51788939		
0000-0001-7041-0310	Q40399865		
0000-0002-2043-5234	Q56355690		
0000-0001-7091-907X	Q56627946		
0000-0003-2266-5516	Q60057024	XiaowuGu	
0000-0002-2791-9709	Q30504188		
0000-0003-0529-4135	Q39455709		
0000-0003-0550-581X	Q91072829		
0000-0003-0219-039X	Q91080210		
0000-0001-7678-8656	Q53997896		
0000-0001-9554-0605	Q88996208	Ben_M_Marshall	
0000-0002-5910-8898	Q30502953		
0000-0003-1143-7788	Q89008939		
0000-0002-3275-9156	Q96230187		
0000-0002-0808-5024	Q89914034	cjvanlissa	cjvanlissa
0000-0001-9689-5344	Q85260466		
0000-0002-4261-4719	Q85637362		
0000-0002-9000-7470	Q37379714		
0000-0001-5584-3089	Q42781753		
0000-0003-4049-7034	Q43379966		
0000-0002-5681-4930	Q88193470		
0000-0002-5639-7209	Q88314740		
